X,Y,OBJECTID,NAME,CITY,STATE,ZIP,PHONE,PHONE2,SPECIAL_FOCUS,SPECIAL_HOURS,FULL_ADDRESS
-75.141950491351693,39.969914525527308,22,District Health Center #6,Philadelphia,PA,19123,215-685-3803,,,,321 West Girard Avenue
-75.136859654383144,40.019107175085757,23,Esperanza Health Center - Hunting Park,Philadelphia,PA,19140,215-302-3600,,,,4417 North 6th Street
-75.1143429301342,39.996034930936823,24,Esperanza Health Center,Philadelphia,PA,19134,215-831-1100,,,,3156 Kensington Avenue
-75.139377992509196,39.996141856601945,25,Esperanza Health Center - 5th Street,Philadelphia,PA,19133,215-221-6633,,,,2940 North 5th Street
-75.161411039978645,39.967025897357665,26,Fairmount Primary Care Center,Philadelphia,PA,19130,215-235-9600,,,,1412 Fairmount Avenue
-75.134591079213578,39.981827228671079,27,Kensington Hospital,Philadelphia,PA,19122,215-426-8100,,,,136 Diamond Street
-75.136458490024694,39.999543426506776,28,Maria de los Santos Health Center,Philadelphia,PA,19133,215-291-2500,,,,401-455 West Allegheny Avenue
-75.164556353282379,39.978432807278161,29,Meade Family Health Center,Philadelphia,PA,19121,215-765-9501,,,,1600 North 18th Street
-75.158965830673154,39.9591642734026,30,PHMC Care Clinic,Philadelphia,PA,19123,215-825-8220,,,,1200 Callowhill Street Suite 101
-75.172476044845226,39.996332790190387,31,Quality Community Health Care,Philadelphia,PA,19132,215-227-0300,,,,2501 West Lehigh Avenue
-75.179070783473662,39.990839522533683,32,Strawberry Mansion District Health Center,Philadelphia,PA,19132,215-685-2401,,,,2840 West Dauphin Street
-75.150663438607978,40.004451905812012,33,Temple University Comprehensive HIV Program,Philadelphia,PA,19140,215-707-2401,,,,1316 West Ontario Street Jones Hall 1st Floor
-75.061287622212646,40.048364505449577,34,District Health Center #10,Philadelphia,PA,19149,215-685-0639,,,,2230 Cottman Avenue
-75.086135600859961,40.01422279070762,35,Frankford Avenue Health Center,Philadelphia,PA,19124,215-744-1302,888-296-4742,,,4510 Frankford Avenue
-75.169331758965583,39.926643567585749,36,District Health Center #2,Philadelphia,PA,19145,215-685-1803,,,,1900 South Broad Street Constitution Health Plaza
-75.157158337490301,39.935916765359849,37,Southeast Health Center,Philadelphia,PA,19147,215-339-5100,,,,800 Washington Avenue
-75.168030216408624,39.932635546404335,38,Urban Solutions,Philadelphia,PA,19146,215-755-0700,,,,1408 South Broad Street 2nd Floor
-75.188233653963962,39.926709720573619,39,Wilson Park Medical Center,Philadelphia,PA,19145,215-755-7700,,,,2520 Snyder Avenue
